run_id,Q,N,loop,estimator,T,time,estimation_error_norm
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.71,0.5155
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.71,0.294234
52f3cac1,Q1,10,1,EKF,30,0.72,0.336797
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.72,0.449404
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.72,0.535872
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.72,0.302016
52f3cac1,Q1,10,1,EKF,30,0.73,0.348835
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.73,0.464285
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.73,0.500192
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.73,0.301689
52f3cac1,Q1,10,1,EKF,30,0.74,0.362333
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.74,0.484041
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.74,0.459909
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.74,0.301124
52f3cac1,Q1,10,1,EKF,30,0.75,0.354054
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.75,0.465661
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.75,0.457099
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.75,0.294716
52f3cac1,Q1,10,1,EKF,30,0.76,0.342627
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.76,0.446134
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.76,0.452845
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.76,0.284069
52f3cac1,Q1,10,1,EKF,30,0.77,0.345026
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.77,0.442107
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.77,0.44167
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.77,0.285827
52f3cac1,Q1,10,1,EKF,30,0.78,0.337226
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.78,0.433442
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.78,0.426918
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.78,0.273412
52f3cac1,Q1,10,1,EKF,30,0.79,0.331965
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.79,0.422059
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.79,0.427198
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.79,0.270912
52f3cac1,Q1,10,1,EKF,30,0.8,0.346122
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.8,0.44352
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.8,0.400538
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.8,0.275613
52f3cac1,Q1,10,1,EKF,30,0.81,0.336019
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.81,0.425978
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.81,0.397882
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.81,0.267147
52f3cac1,Q1,10,1,EKF,30,0.82,0.348546
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.82,0.441243
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.82,0.366588
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.82,0.269451
52f3cac1,Q1,10,1,EKF,30,0.83,0.33609
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.83,0.420955
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.83,0.382917
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.83,0.265255
52f3cac1,Q1,10,1,EKF,30,0.84,0.330336
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.84,0.411748
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.84,0.36856
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.84,0.256824
52f3cac1,Q1,10,1,EKF,30,0.85,0.323253
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.85,0.400596
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.85,0.36063
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.85,0.249366
52f3cac1,Q1,10,1,EKF,30,0.86,0.318829
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.86,0.392482
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.86,0.364552
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.86,0.249095
52f3cac1,Q1,10,1,EKF,30,0.87,0.309497
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.87,0.376279
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.87,0.377497
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.87,0.249209
52f3cac1,Q1,10,1,EKF,30,0.88,0.30598
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.88,0.371342
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.88,0.360179
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.88,0.240901
52f3cac1,Q1,10,1,EKF,30,0.89,0.300722
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.89,0.362062
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.89,0.354446
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.89,0.236449
52f3cac1,Q1,10,1,EKF,30,0.9,0.288023
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.9,0.342593
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.9,0.363042
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.9,0.232658
52f3cac1,Q1,10,1,EKF,30,0.91,0.286269
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.91,0.338665
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.91,0.353963
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.91,0.229224
52f3cac1,Q1,10,1,EKF,30,0.92,0.288128
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.92,0.339207
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.92,0.348793
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.92,0.229905
52f3cac1,Q1,10,1,EKF,30,0.93,0.284047
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.93,0.329239
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.93,0.356433
